id_establecimiento,id_ubicacion,id_direccion,codigo_acta,id_contacto
8320509,1,1,115111,0
8838283,2,2,112519,2
6166487,3,3,112514,3
8346295,4,4,115113,4
9323240,5,5,115113,5
6166344,2,6,114119,6
9938978,2,7,115111,0
10676525,6,8,115111,0
6166273,2,9,114119,7
10399786,7,10,115112,8
11650226,8,11,115113,0
6762603,2,12,114119,0
8130649,9,13,115119,9
6166311,10,14,114119,10
8345681,11,15,115111,11
8901346,2,16,114119,12
9045957,12,17,114113,13
9401810,12,18,112516,14
11032940,2,7,115111,0
9585470,7,19,115111,0
7633673,9,20,115119,15
6726612,9,21,115119,9
6752874,2,22,112519,16
6166503,13,23,112519,17
8901366,14,24,114119,18
6166471,11,25,114119,19
11126552,15,26,115111,20
6184309,7,27,114111,0
10660943,7,28,115111,21
10319698,16,29,114119,0
10313174,7,30,115111,22
10757021,17,31,112516,23
9045986,2,32,114119,24
6166434,2,33,112519,25
9338118,2,34,115119,26
10810400,15,35,115111,0
6166287,2,36,114119,27
6283195,18,37,115112,28
6166387,19,38,114119,0
6166490,16,39,114111,29
128060,15,40,115113,30
9306801,12,41,114113,13
9306801,2,42,114113,13
9720454,12,43,114112,0
7005046,9,44,115113,0
6166461,2,45,114119,31
6166464,20,46,114119,32
11384086,8,47,115113,0
10627679,21,48,115111,33
6166327,22,49,114119,0
9577027,15,50,115113,0
10553649,15,51,115113,34
9435972,23,52,115113,35
9223515,24,53,115113,36
8789612,2,54,114119,37
8838347,2,55,114119,38
8251137,25,56,114119,39
10668992,2,57,114119,40
123184,15,58,115119,41
9439358,26,59,114119,0
7863369,2,60,114119,0
9499001,7,61,115210,0
9046053,2,62,114113,0
6166426,27,63,114119,0
6166473,2,64,114119,0
6166370,2,65,114119,0
6166371,28,66,114119,0
6166308,29,67,114119,0
100510,2,68,115111,0
6166298,2,69,114119,0
10460175,16,70,114119,0
10445441,30,71,115119,42
6166454,2,72,114119,43
9450263,12,73,112515,0
9045843,2,74,114119,44
6166452,2,75,114119,45
6166268,2,76,114119,46
9223506,13,77,114119,47
6739928,12,78,114119,48
8853688,12,79,114119,49
10386036,7,80,115111,0
6166459,2,81,114119,0
8901388,2,82,114119,0
6740777,2,83,112519,50
6166411,31,84,112519,51
7863371,2,85,112519,52
7863371,2,86,114119,53
8704365,32,87,114119,54
100528,33,88,115119,55
8696208,2,89,114119,0
9046026,12,90,114119,0
9046042,2,91,114119,56
6166272,2,92,114112,57
8011869,2,93,114119,0
9223512,13,94,114119,58
9223512,13,95,114119,59
8011851,34,96,114112,60
10162087,35,97,114119,0
10162087,35,98,114119,0
9046109,23,99,114119,61
9046154,36,100,114119,62
6166317,37,101,114119,63
6166318,28,102,114119,0
9046129,13,103,114119,0
6166380,38,104,114119,64
6166425,39,105,114119,0
6188995,38,106,114119,0
8983348,13,107,114119,65
7863322,15,108,114119,66
6166467,40,109,114119,0
9046067,2,110,114119,0
7863331,9,111,114119,67
8011829,2,112,114119,68
6166407,41,113,114119,0
6708635,42,114,114119,0
6166458,12,115,114119,0
9045977,2,116,114119,69
7863288,2,117,114119,0
9045965,2,118,114119,70
6724646,2,119,114119,0
6166373,40,120,114119,0
6166391,2,121,114119,71
8161698,31,122,114119,72
6166402,29,123,114119,0
6166403,29,124,114119,0
6166396,29,125,114119,0
6166416,29,126,114119,0
6166390,43,127,114119,0
6166393,44,128,114119,0
9223508,13,129,114119,73
6166319,22,130,114119,74
6166323,45,131,114119,0
6166400,29,132,114119,0
6166348,38,133,114119,0
6166378,38,134,114119,75
6166384,46,135,114119,0
9045849,2,136,114119,76
9419139,47,137,114119,77
9430471,48,138,114119,78
8704368,49,139,114119,79
9045926,2,140,114119,0
9045928,2,141,114119,80
6166447,2,142,114119,0
6166447,2,143,114119,0
6166418,2,144,114119,0
9046126,2,145,114119,81
6166457,2,146,114119,0
6166447,2,147,114119,0
6166352,2,148,114119,82
9046018,2,149,114119,0
9046142,2,150,114119,83
6166511,2,151,114119,84
6166369,2,152,114119,85
6166335,2,153,114119,0
6166339,2,154,114119,0
6166447,2,155,114119,0
6166351,2,156,114119,86
6166337,2,157,114119,0
6166469,2,158,114119,87
6166469,2,159,114119,88
6166401,29,160,114119,89
6166401,44,161,114119,0
6166401,29,162,114119,0
6166410,50,163,114119,0
6166469,2,164,114119,90
6166469,2,165,114119,91
6166469,2,166,114119,92
6166312,13,167,114119,0
7889003,51,168,114119,0
6166338,12,169,114119,93
9045989,2,170,114111,94
6166254,2,171,114113,95
6166282,16,172,114119,96
6166265,12,173,114113,97
8161732,2,174,114119,0
6166476,2,175,114119,98
6800280,2,176,114119,99
9276519,52,177,114119,100
6166269,2,178,114119,101
6166303,2,179,114113,102
6166271,2,180,114119,103
6166409,4,181,114119,104
6166446,12,182,114119,105
11377463,2,183,114113,0
6166481,13,184,114119,106
115267,15,185,115113,0
7863324,23,186,112519,0
6166462,2,187,114119,107
6166502,2,188,114119,108
6166270,2,189,114119,109
7863305,2,190,114119,110
9434820,2,191,114112,0
9290980,12,192,112519,111
8346446,7,193,115111,112
10533822,53,194,115119,0
6501219,4,195,115113,113
9276518,2,196,112519,114
11242774,15,197,115111,0
6166478,13,198,114119,0
7888968,2,199,114119,115
8723524,2,200,114119,116
10426804,7,201,115111,117
8723527,54,202,114119,0
10705030,16,203,112513,118
6166405,49,204,114119,119
6166359,2,205,114119,120
6166340,2,206,114119,121
6166313,55,207,114119,122
6166302,42,208,114119,123
6166336,16,209,114119,124
8835832,56,210,114119,125
8465043,57,211,114119,126
8789630,52,212,114119,0
