clave_busqueda,codigo_act,nombre_act
115111Servicios de fumigación agrícola,115111,Servicios de fumigación agrícola
112519Otra acuicultura,112519,Otra acuicultura
112514Camaronicultura y acuicultura de otros crustáceos en agua dulce,112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce
115113Beneficio de productos agrícolas,115113,Beneficio de productos agrícolas
"114119Pesca y captura de peces, crustáceos, moluscos y otras especies",114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies"
115112Despepite de algodón,115112,Despepite de algodón
115119Otros servicios relacionados con la agricultura,115119,Otros servicios relacionados con la agricultura
114113Pesca de sardina y anchoveta,114113,Pesca de sardina y anchoveta
112516Piscicultura en agua salada,112516,Piscicultura en agua salada
114111Pesca de camarón,114111,Pesca de camarón
114112Pesca de túnidos,114112,Pesca de túnidos
115210Servicios relacionados con la cría y explotación de animales,115210,Servicios relacionados con la cría y explotación de animales
112515Piscicultura en agua dulce,112515,Piscicultura en agua dulce
112513Camaronicultura y acuicultura de otros crustáceos en agua salada,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada
212321Minería de arena y grava para la construcción,212321,Minería de arena y grava para la construcción
212232Minería de plomo y zinc,212232,Minería de plomo y zinc
212311Minería de piedra caliza,212311,Minería de piedra caliza
212210Minería de hierro,212210,Minería de hierro
212391Minería de sal,212391,Minería de sal
212110Minería de carbón mineral,212110,Minería de carbón mineral
212221Minería de oro,212221,Minería de oro
212319Minería de otras piedras dimensionadas,212319,Minería de otras piedras dimensionadas
213119Otros servicios relacionados con la minería,213119,Otros servicios relacionados con la minería
221122Distribución de energía eléctrica,221122,Distribución de energía eléctrica
"221311Captación, tratamiento y suministro de agua realizados por el sector privado",221311,"Captación, tratamiento y suministro de agua realizados por el sector privado"
"221312Captación, tratamiento y suministro de agua realizados por el sector público",221312,"Captación, tratamiento y suministro de agua realizados por el sector público"
221123Comercialización de energía eléctrica,221123,Comercialización de energía eléctrica
221111Generación de electricidad a partir de combustibles fósiles,221111,Generación de electricidad a partir de combustibles fósiles
221121Transmisión de energía eléctrica,221121,Transmisión de energía eléctrica
221114Generación de electricidad a partir de energía eólica,221114,Generación de electricidad a partir de energía eólica
221210Suministro de gas natural por ductos al consumidor final,221210,Suministro de gas natural por ductos al consumidor final
"236211Edificación de naves y plantas industriales, excepto la supervisión",236211,"Edificación de naves y plantas industriales, excepto la supervisión"
236112Edificación de vivienda multifamiliar,236112,Edificación de vivienda multifamiliar
238210Instalaciones eléctricas en construcciones,238210,Instalaciones eléctricas en construcciones
238130Trabajos de albañilería,238130,Trabajos de albañilería
236111Edificación de vivienda unifamiliar,236111,Edificación de vivienda unifamiliar
"236221Edificación de inmuebles comerciales y de servicios, excepto la supervisión",236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión"
236222Supervisión de edificación de inmuebles comerciales y de servicios,236222,Supervisión de edificación de inmuebles comerciales y de servicios
236113Supervisión de edificación residencial,236113,Supervisión de edificación residencial
238222Instalaciones de sistemas centrales de aire acondicionado y calefacción,238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción
238311Colocación de muros falsos y aislamiento,238311,Colocación de muros falsos y aislamiento
238990Otros trabajos especializados para la construcción,238990,Otros trabajos especializados para la construcción
"237111Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
237212Construcción de obras de urbanización,237212,Construcción de obras de urbanización
238910Preparación de terrenos para la construcción,238910,Preparación de terrenos para la construcción
238122Montaje de estructuras de acero prefabricadas,238122,Montaje de estructuras de acero prefabricadas
"237312Construcción de carreteras, puentes y similares",237312,"Construcción de carreteras, puentes y similares"
237311Instalación de señalamientos y protecciones en obras viales,237311,Instalación de señalamientos y protecciones en obras viales
238190Otros trabajos en exteriores,238190,Otros trabajos en exteriores
237211División de terrenos,237211,División de terrenos
238390Otros trabajos de acabados en edificaciones,238390,Otros trabajos de acabados en edificaciones
238121Montaje de estructuras de concreto prefabricadas,238121,Montaje de estructuras de concreto prefabricadas
238350Realización de trabajos de carpintería en el lugar de la construcción,238350,Realización de trabajos de carpintería en el lugar de la construcción
237121Construcción de sistemas de distribución de petróleo y gas,237121,Construcción de sistemas de distribución de petróleo y gas
"237992Construcción de obras marítimas, fluviales y subacuáticas",237992,"Construcción de obras marítimas, fluviales y subacuáticas"
237213Supervisión de división de terrenos y de construcción de obras de urbanización,237213,Supervisión de división de terrenos y de construcción de obras de urbanización
238110Trabajos de cimentaciones,238110,Trabajos de cimentaciones
238330Colocación de pisos flexibles y de madera,238330,Colocación de pisos flexibles y de madera
237131Construcción de obras de generación y conducción de energía eléctrica,237131,Construcción de obras de generación y conducción de energía eléctrica
237999Otras construcciones de ingeniería civil,237999,Otras construcciones de ingeniería civil
238221Instalaciones hidrosanitarias y de gas,238221,Instalaciones hidrosanitarias y de gas
237112Construcción de sistemas de riego agrícola,237112,Construcción de sistemas de riego agrícola
237991Construcción de presas y represas,237991,Construcción de presas y represas
238340Colocación de pisos cerámicos y azulejos,238340,Colocación de pisos cerámicos y azulejos
238290Otras instalaciones y equipamiento en construcciones,238290,Otras instalaciones y equipamiento en construcciones
238320Trabajos de pintura y otros cubrimientos de paredes,238320,Trabajos de pintura y otros cubrimientos de paredes
237132Construcción de obras para telecomunicaciones,237132,Construcción de obras para telecomunicaciones
