id_ubicacion,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad
1,2,Baja California,2,Mexicali,192,Ejido Hermosillo                                                                                              
2,2,Baja California,1,Ensenada,1,Ensenada                                                                                                      
3,2,Baja California,2,Mexicali,1581,Los Ángulos (Colonia Venustiano Carranza)                                                                     
4,2,Baja California,1,Ensenada,186,Ejido Punta Colnett (Punta Colonet)                                                                           
5,2,Baja California,2,Mexicali,2900,Familia Lamarque (Colonia Chapultepec)                                                                        
6,2,Baja California,2,Mexicali,268,Ejido Hechicera                                                                                               
7,2,Baja California,2,Mexicali,1,Mexicali                                                                                                      
8,2,Baja California,6,San Quintín,40,Camalú                                                                                                        
9,2,Baja California,1,Ensenada,139,Rodolfo Sánchez Taboada (Maneadero)                                                                           
10,2,Baja California,6,San Quintín,117,Ejido Mesa de San Jacinto                                                                                     
11,2,Baja California,1,Ensenada,184,Coronel Esteban Cantú                                                                                         
12,2,Baja California,1,Ensenada,247,El Sauzal de Rodríguez                                                                                        
13,2,Baja California,6,San Quintín,1,San Quintín                                                                                                   
14,2,Baja California,1,Ensenada,243,San Vicente                                                                                                   
15,2,Baja California,4,Tijuana,1,Tijuana                                                                                                       
16,2,Baja California,7,San Felipe                                                                  ,1,San Felipe                                                                                                    
17,2,Baja California,3,Tecate,2033,Cooperativa Jamec                                                                                             
18,2,Baja California,2,Mexicali,141,Ejido Tamaulipas (Estación Cucapah)                                                                           
19,2,Baja California,2,Mexicali,237,Nuevo León                                                                                                    
20,2,Baja California,1,Ensenada,1231,La Calavera                                                                                                   
21,2,Baja California,3,Tecate,1,Tecate                                                                                                        
22,2,Baja California,6,San Quintín,837,Santa Rosaliíta                                                                                               
23,2,Baja California,1,Ensenada,95,Ejido Eréndira                                                                                                
24,2,Baja California,1,Ensenada,2580,Los Gringos                                                                                                   
25,2,Baja California,6,San Quintín,700,Rancho Chaidez                                                                                                
26,2,Baja California,7,San Felipe                                                                  ,48,Cinco Islas [Campo]                                                                                           
27,2,Baja California,5,Playas de Rosarito,305,Puerto Popotla                                                                                                
28,2,Baja California,6,San Quintín,115,Ejido José María Morelos y Pavón                                                                              
29,2,Baja California,6,San Quintín,118,Ejido Nueva Odisea (El Pabellón)                                                                              
30,2,Baja California,2,Mexicali,231,Ciudad Morelos (Cuervos)                                                                                      
31,2,Baja California,6,San Quintín,585,Lázaro Cárdenas                                                                                               
32,2,Baja California,1,Ensenada,3950,Rancho González                                                                                               
33,2,Baja California,1,Ensenada,190,Real del Castillo Nuevo (Ojos Negros)                                                                         
34,2,Baja California,6,San Quintín,77,Cielito Lindo                                                                                                 
35,2,Baja California,2,Mexicali,461,Ciudad Coahuila (Kilómetro Cincuenta y Siete)                                                                 
36,2,Baja California,1,Ensenada,1962,Villarino (Campo Villarino) [Campamento Turístico]                                                            
37,2,Baja California,6,San Quintín,150,El Chamizal [Rancho]                                                                                          
38,2,Baja California,6,San Quintín,22,Bahía de los Ángeles                                                                                          
39,2,Baja California,5,Playas de Rosarito,90,Puerto Nuevo                                                                                                  
40,2,Baja California,1,Ensenada,3172,Arnáiz                                                                                                        
41,2,Baja California,1,Ensenada,3122,Ejido 27 de Enero                                                                                             
42,2,Baja California,1,Ensenada,124,Isla de Cedros                                                                                                
43,2,Baja California,6,San Quintín,861,Venustiano Carranza (Santa María)                                                                             
